fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	bagging_freq	num_iterations	estimulos	ganancia	iteracion_bayesiana
20231121 035108	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.281619068053784	0.219756949657574	661	14928	0.576331539812731	30	0.557915327086812	0.504259367811028	0.570827935257694	20	39	11688	152569467.266367	1
20231121 035254	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.164863073184853	0.278193384976243	228	27223	0.32123883777851	20	0.65726605533273	0.479782790347235	0.604714585223701	26	92	11512	158935080.45977	2
20231121 035339	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0850481444888282	0.646472259355651	733	30011	0.594053358263511	25	0.428352532628924	0.606746920320438	0.365467096032808	20	43	9250	144754927.536232	3
20231121 035551	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.145926685017534	0.490257317955839	589	38154	0.755653569413349	33	0.708829038986005	0.854262442392064	0.407621747039957	21	100	10934	157307057.471264	4
20231121 035749	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0710168011137284	0.368264194282645	475	10300	0.892292956164398	6	0.860514358850196	0.107676385575905	0.474882466951385	9	73	12080	155339130.434783	5
20231121 035843	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.173868301575771	0.0574508957374492	754	31814	0.51024402442947	17	0.220736232632771	0.725264713034267	0.251241968263639	7	93	12394	148382389.805097	6
20231121 040046	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0981374477928039	0.394035409221251	633	19412	0.417323540492449	28	0.54805352059193	0.23768043036107	0.477116117498372	12	95	12424	158806512.743628	7
20231121 040140	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.195352197280386	0.71530457910418	873	48618	0.631430781638075	8	0.12656258456409	0.219453340722248	0.547554753528675	17	93	10839	159169858.570715	8
20231121 040323	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.12935335585312	0.325773817656503	905	22291	0.478865438090113	22	0.683478768100031	0.820375558821252	0.0976688218244817	19	100	13357	145181619.690155	9
20231121 040556	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.120782353451708	0.520921529382933	298	34907	0.0330402583354735	29	0.387498841597699	0.459306258009747	0.786588719661813	13	98	11423	147650874.062969	10
20231121 040718	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.247529527809005	0.191408914291125	399	21257	0.365589171664789	34	0.492868504993385	0.657400007091928	0.279980893089669	24	97	15809	147557029.985007	11
20231121 040758	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.135363356343703	0.897939590134658	152	39006	0.550712079885358	26	0.501950447115814	0.546125754265813	0.327984464535257	2	68	12168	151120211.894053	12
20231121 041003	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.185011955735274	0.354956324868021	88	32706	0.832327513378463	46	0.882405905186897	0.573052712564822	0.817358076543314	28	72	11897	159462249.375312	13
20231121 041229	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.296616250672378	0.409592896818183	130	7868	0.171414673635387	43	0.161396403133404	0.397743368544616	0.871740252687596	8	99	10520	148814892.553723	14
20231121 041313	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.148372936677886	0.942123695116781	773	17717	0.38828551165032	2	0.0852864030224737	0.887962733063614	0.649976374348626	22	47	11519	146832927.036482	15
20231121 041424	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0908742990754545	0.108624373996339	356	23094	0.443291628088104	15	0.738467167154886	0.677197511232225	0.984693323349347	15	100	11283	156266576.211894	16
20231121 041627	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.257915128146298	0.439482817448676	337	44889	0.747499265393708	48	0.279568415880203	0.188260279322276	0.315794223325793	14	36	14792	149138718.64068	17
20231121 041843	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.117957253168104	0.545819580561598	528	45644	0.792557530096034	10	0.910644301678985	0.401408533198992	0.428766205359716	18	100	12029	154678139.430285	18
20231121 042024	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.205677737760125	0.302504051370895	986	15372	0.184599059772794	42	0.351202475465834	0.625067331403261	0.154879500344396	2	68	11538	141561416.291854	19
20231121 042128	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.179583012880525	0.781183146925119	842	43542	0.148392475129222	49	0.759243748843437	0.356377677380806	0.660643768066075	15	98	11453	155614327.336332	20
20231121 042216	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0456067161327228	0.871416836772289	669	24272	0.678357368305617	36	0.192152799980249	0.782694941089721	0.393655335134827	24	66	12530	148452578.710645	21
20231121 042241	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.153787957358872	0.844758317308559	428	27616	0.232333133976092	26	0.330919591977727	0.074761255516205	0.108459296217188	23	99	11860	142209425.287356	22
20231121 042419	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0675290123049635	0.823110690239642	264	16373	0.349727063001075	19	0.947279237059411	0.146731930022361	0.905618481861893	7	91	12517	159074853.073463	23
20231121 042520	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.191533898508642	0.0777764279403491	947	47342	0.272734179117891	17	0.0261490920209326	0.717934522195719	0.964980284695048	17	51	14669	148098069.465267	24
20231121 042636	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0331951872983482	0.113272502827051	972	5134	0.914083308067697	40	0.618576237477828	0.32792166134459	0.925618694291916	6	89	14020	156277571.214393	25
20231121 042807	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0364635496069677	0.595716147933097	509	25062	0.0523637871916289	36	0.993953563913237	0.434405017481185	0.0510851376049686	10	95	9353	108953467.766117	26
20231121 043045	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.217198477517115	0.57790843771334	194	168	0.29144757120905	7	0.582042069220915	0.250172786955955	0.88055008717929	27	80	11825	143471436.781609	27
20231121 043121	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.243522009035107	0.991853936110449	695	2818	0.254414141985122	11	0.64183101473609	0.902395020925906	0.14927359331632	16	100	11688	150269997.001499	28
